,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Artists_1,Artists_2,Artists_3,genres_1,genres_2,genres_3
294,Definitivamente,"['Daddy Yankee', 'Sech']",0UCVIBTr9NGHX8GRngNb7L,"['reggaeton', 'hip hop', 'rap', 'latin']",0.812,0.764,8,-3.39,0,0.101,0.59,0.0,0.253,0.431,100.082,Daddy Yankee,Sech,,reggaeton,hip hop,rap
295,Les Duele,['Morad'],0JC2yPGYZsO9zR9Bss3Hi8,"['urban', 'drill']",0.765,0.785,8,-5.244,0,0.107,0.154,0.0,0.202,0.822,128.011,Morad,,,urban,drill,
296,Lo Que Me Dé la Gana,['Dani Martín'],78jD6JCzohCt21a3rc26FB,"['rock', 'pop']",0.508,0.903,7,-4.088,1,0.358,0.0609,0.0,0.146,0.539,191.996,Dani Martín,,,rock,pop,
297,Dónde Estás,['KHEA'],16DNJ8y6k97DxuMyV49W7V,"['hip hop', 'rap']",0.706,0.622,7,-6.032,1,0.113,0.493,0.0,0.102,0.615,90.022,KHEA,,,hip hop,rap,
298,Get Me,"['Justin Bieber', 'Kehlani']",6zGPytJiZmFuyVq7RTNO9G,['pop'],0.824,0.503,6,-6.94,0,0.156,0.05,5.25e-05,0.107,0.784,109.397,Justin Bieber,Kehlani,,pop,,
299,Universo,['Blas Cantó'],5CXzYfLqlNS70pt7vuVVHw,"['eurovision', 'pop']",0.562,0.645,5,-6.498,1,0.0538,0.604,0.0,0.106,0.597,91.922,Blas Cantó,,,eurovision,pop,
300,Diosa,['Myke Towers'],3JHpk0DOTOzyh0777JFAky,['rap'],0.801,0.745,6,-3.733,0,0.063,0.398,0.00603,0.153,0.245,104.965,Myke Towers,,,rap,,
301,Tú,['Myke Towers'],7xX3wvvcZvxGCa06KlgTCp,['rap'],0.805,0.744,5,-5.627,0,0.149,0.258,1.4e-05,0.277,0.825,123.999,Myke Towers,,,rap,,
302,Quédate conmigo,"['Pole.', 'Pilar Moxó']",5tzOL69W6lCp4gAomIXMnJ,"['pop', 'urban']",0.58,0.715,1,-4.74,1,0.0397,0.677,0.0,0.243,0.46,145.91,Pole.,Pilar Moxó,,pop,urban,
303,Shotgun,['Flavio'],6SihOhDSA4o9f4L6su8N4Z,"['pop', 'latin']",0.69,0.764,3,-7.116,1,0.0585,0.361,1.51e-05,0.0992,0.699,115.668,Flavio,,,pop,latin,
304,Maniac,"['Eva B', 'Samantha']",4ZzQkRdkHQvLFesQiDbZbO,"['pop', 'latin']",0.595,0.818,3,-7.602,0,0.0337,0.00559,2.33e-05,0.0359,0.92,158.952,Eva B,Samantha,,pop,latin,
305,La Despedida,"['NIA', 'Gèrard']",1zBIhnuggV5m9VrYUStKT1,['pop'],0.446,0.244,1,-8.331,0,0.039,0.871,0.0,0.102,0.233,121.844,NIA,Gèrard,,pop,,
306,Besos,['Operación Triunfo 2020'],4S1PEdkbSNF4UO8Oi9bQop,"['pop', 'latin']",0.649,0.733,2,-7.769,1,0.0237,0.00671,3.14e-06,0.121,0.928,104.973,Operación Triunfo 2020,,,pop,latin,
307,Podría Ser Peor,"['Bruno Alves', 'Anne Lukin']",2mx09kQ1Jrvsi5SEeFhcSf,['latin'],0.688,0.913,11,-6.471,1,0.0419,0.209,0.0,0.0852,0.882,124.995,Bruno Alves,Anne Lukin,,latin,,
308,Como Se Siente,['Jhay Cortez'],09tYvFOFp1pKxZ8GJVlOXm,"['reggaeton', 'rap', 'latin']",0.664,0.582,3,-7.139,0,0.0935,0.213,0.0,0.108,0.222,92.764,Jhay Cortez,,,reggaeton,rap,latin
309,Esperando - MUU Sessions,"['Nil Moliner', 'Bely Basarte']",3zmgPH9VI8UJYzhFYihmSz,['pop'],0.619,0.541,0,-6.844,1,0.0362,0.522,0.0,0.111,0.382,122.124,Nil Moliner,Bely Basarte,,pop,,
310,Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']",7CHi4DtfK4heMlQaudCuHK,"['pop', 'house', 'edm']",0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,MEDUZA,Becky Hill,Goodboys,pop,house,edm
311,Medusa,"['Jhay Cortez', 'Anuel AA', 'J Balvin']",3cp0qK5a7EjP40AfcvsNS4,"['reggaeton', 'rap', 'latin']",0.887,0.598,0,-7.282,1,0.212,0.201,2.92e-06,0.109,0.394,98.019,Jhay Cortez,Anuel AA,J Balvin,reggaeton,rap,latin
