Track,acousticness,danceability,energy,liveness,speechiness,valence
A Dónde Vamos,0.006769999999999986,0.6270000000000014,0.6080000000000021,0.23299999999999887,0.036400000000000265,0.9550000000000042
A Escondidas,0.5440000000000004,0.784999999999999,0.42699999999999966,0.1319999999999999,0.1869999999999999,0.5870000000000001
A Güiro,0.18499999999999964,0.9579999999999986,0.5810000000000016,0.0282,0.13400000000000023,0.9020000000000008
A Holly Jolly Christmas - Single Version,0.579,0.683,0.375,0.076,0.0303,0.888
A Mi Lado,0.58,0.7409999999999998,0.484,0.15399999999999997,0.547,0.6319999999999999
A Su Lado,0.889,0.775,0.346,0.104,0.072,0.37
A Tu Merced,0.16900000000000018,0.8599999999999995,0.7909999999999983,0.10599999999999991,0.05679999999999997,0.8870000000000003
A Un Paso De La Luna,0.39399999999999885,0.7439999999999999,0.7710000000000007,0.29200000000000087,0.0530999999999999,0.9539999999999972
A la deriva,0.0811,0.596,0.847,0.307,0.0631,0.961
ADMV,0.8170000000000004,0.5649999999999984,0.3900000000000005,0.12600000000000047,0.05560000000000009,0.7079999999999986
ALELUYA - REMIX,0.0932,0.814,0.694,0.145,0.151,0.706
ANTES QUE SE ACABE,0.5050000000000003,0.6930000000000002,0.5489999999999998,0.3239999999999999,0.05770000000000003,0.4730000000000003
AYNEA REMIX,0.0437,0.618,0.499,0.224,0.0952,0.445
Adan y Eva,0.32300000000000034,0.7669999999999995,0.709000000000002,0.06759999999999994,0.33599999999999913,0.7199999999999992
Adicto (with Anuel AA & Ozuna),0.016999999999999935,0.7340000000000001,0.836000000000003,0.17899999999999983,0.07349999999999966,0.6230000000000011
Adore You,0.023699999999999985,0.6760000000000008,0.7710000000000007,0.10200000000000019,0.04829999999999999,0.569000000000001
After Hours,0.08109999999999998,0.6639999999999999,0.5719999999999998,0.121,0.030499999999999985,0.14299999999999996
Afterglow,0.698,0.641,0.324,0.328,0.029900000000000003,0.2730000000000001
Agua,0.7430000000000001,0.715,0.35800000000000004,0.104,0.033,0.742
Aguacero,0.0782,0.773,0.839,0.143,0.076,0.784
Aguantando,0.3640000000000004,0.5769999999999992,0.6140000000000005,0.04709999999999997,0.117,0.6829999999999999
Ahora Dice Que Me Ama,0.16499999999999954,0.8479999999999992,0.6150000000000004,0.18099999999999986,0.19200000000000014,0.47999999999999904
Al Aire,0.005290000000000002,0.4589999999999999,0.8900000000000001,0.16599999999999998,0.05820000000000002,0.6899999999999997
Al Santo Equivocado,0.949,0.537,0.0822,0.112,0.0347,0.159
Al filo,0.108,0.707,0.721,0.0954,0.369,0.468
Alcatraz,0.339,0.561,0.8219999999999998,0.12,0.568,0.10700000000000001
Aleluya,0.0478,0.8099999999999998,0.716,0.06780000000000003,0.06939999999999996,0.689
Aleluya (Pt.2),0.07889999999999998,0.836,0.5850000000000002,0.11000000000000001,0.08410000000000001,0.6750000000000003
Algo Mejor,0.0665,0.544,0.605,0.106,0.182,0.373
Algo Mágico,0.7580000000000003,0.6799999999999998,0.6129999999999997,0.16099999999999975,0.08180000000000003,0.609000000000001
Alice,0.00334,0.723,0.88,0.0632,0.038,0.323
All I Want For Christmas Is You,0.164,0.336,0.627,0.0708,0.0384,0.35
All I Want for Christmas Is You,0.29200000000000037,0.41949999999999976,0.5460000000000005,0.08590000000000006,0.03290000000000004,0.24650000000000014
Alone Again,0.033,0.218,0.652,0.172,0.0641,0.0599
Alright,0.0742,0.796,0.766,0.0827,0.238,0.558
Amanece,0.43699999999999994,0.79,0.6310000000000001,0.158,0.042499999999999996,0.8890000000000001
Amantes y Amigos,0.36899999999999983,0.6950000000000002,0.7119999999999999,0.101,0.15299999999999986,0.4680000000000001
Amarillo,0.011800000000000026,0.8760000000000033,0.8499999999999961,0.11100000000000047,0.16299999999999912,0.9619999999999954
Amigos,0.17199999999999996,0.7430000000000001,0.7859999999999999,0.12800000000000003,0.0644,0.5990000000000001
América,0.287,0.837,0.687,0.0623,0.141,0.676
Anaranjado,0.046599999999999996,0.7630000000000011,0.5799999999999987,0.15399999999999994,0.14400000000000002,0.6079999999999993
Angelito,0.12400000000000007,0.718,0.6509999999999999,0.12300000000000005,0.11300000000000002,0.3259999999999999
Angels Like You,0.0981,0.672,0.642,0.1,0.0313,0.49399999999999994
Another Love,0.7545000000000001,0.4629999999999999,0.446,0.10654999999999999,0.0489,0.20699999999999996
Antes de Morirme (feat. ROSALÍA),0.07359999999999996,0.8640000000000004,0.49699999999999994,0.10800000000000005,0.18000000000000005,0.133
Antes de Morirme (feat. Rosalía),0.07359999999999992,0.8639999999999993,0.49699999999999994,0.10799999999999992,0.17999999999999985,0.13299999999999998
Antes y Después,0.17099999999999993,0.7319999999999998,0.6340000000000001,0.20400000000000007,0.3600000000000001,0.533
Aprendiendo El Sexo,0.113,0.7940000000000004,0.8069999999999996,0.41799999999999976,0.0825,0.3539999999999998
Arcoíris,0.08529999999999997,0.7310000000000001,0.7870000000000003,0.3159999999999999,0.07210000000000004,0.39299999999999996
"Asan: Bzrp Music Sessions, Vol. 35",0.205,0.68,0.576,0.109,0.0866,0.507
